Filename,Title
output_texts\0.txt,"Poverty, climate, space: China's progress in 10 years under Xi Jinping - Times of India"
output_texts\1.txt,Xi Jinping: President Xi claims complete victory in eradicating absolute poverty in China | World News - Times of India
output_texts\2.txt,"¡®India, China key to global poverty alleviation¡¯ - Times of India"
output_texts\3.txt,"Arunachal Pradesh:  Arunachal integral part of India, condemns China: Rare resolution in US senate | India News - Times of India"
output_texts\4.txt,Shah: Vote for Modi to alleviate poverty | Patna News - Times of India
output_texts\5.txt,Imran Khan says his govt wants to learn from China's development model to eradicate poverty - Times of India
output_texts\6.txt,Maharashtra: China to help make Maharashtra $1 trillion economy: Consul General | Mumbai News - Times of India
output_texts\7.txt,China's Communist Party leadership reshuffle: What to look for - Times of India
output_texts\8.txt,"How China's Xi Jinping accumulated power, and why it matters in a third term - Times of India"
output_texts\9.txt,¡®Will always put Pakistan as a priority in our neighbourhood diplomacy': China to PM Sharif - Times of India
output_texts\10.txt," COVID-19 to hit South Asia very hard, likely to wipe out gains made in poverty alleviation:World Bank | India News - Times of India"
output_texts\11.txt,India lockdown news: Complete list of the services that will remain open during lockdown in India | India News - Times of India
output_texts\12.txt, Coronavirus in India: How to quarantine yourself at home | India News - Times of India
output_texts\13.txt,Country now comes before profit for companies in Xi¡¯s China - Times of India
output_texts\14.txt,"Universal Basic Income is the 'vaccine' for poverty, says researcher Scott Santens - Times of India"
output_texts\15.txt,"Poverty, climate, space: China's progress in 10 years under Xi Jinping - Times of India"
output_texts\16.txt,Xi Jinping: President Xi claims complete victory in eradicating absolute poverty in China | World News - Times of India
output_texts\17.txt,"¡®India, China key to global poverty alleviation¡¯ - Times of India"
output_texts\18.txt,"Arunachal Pradesh:  Arunachal integral part of India, condemns China: Rare resolution in US senate | India News - Times of India"
output_texts\19.txt,Shah: Vote for Modi to alleviate poverty | Patna News - Times of India
output_texts\20.txt,Imran Khan says his govt wants to learn from China's development model to eradicate poverty - Times of India
output_texts\21.txt,Maharashtra: China to help make Maharashtra $1 trillion economy: Consul General | Mumbai News - Times of India
output_texts\22.txt,China's Communist Party leadership reshuffle: What to look for - Times of India
